"Contig","Description","Top_hit","BitScore","Evalue"
"k141_3735108.concoct_part_2","CP012001.1","Pseudomonas aeruginosa DSM 50071, complete genome","18312",0
"k141_1166050.concoct_part_0","AP018049.1","Prevotella melaninogenica DNA, complete genome, strain...","1546",0
"k141_1894846.concoct_part_0","CP053998.1","Streptococcus salivarius strain FDAARGOS_771 chromosom...","2274",0
"k141_1894864.concoct_part_0","CP020451.2","Streptococcus salivarius strain FDAARGOS_259 chromosom...","3018",0
"k141_2264651.concoct_part_0","CP054134.1","Streptococcus oralis subsp. oralis strain SN51445 chro...","1587",0
"k141_3370511.concoct_part_0","CP010902.1","Moraxella catarrhalis strain MC8 chromosome","31684",0
"k141_1895172.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1700",0
"k141_2633544.concoct_part_0","AP018562.1","Staphylococcus argenteus 58113 DNA, complete genome","2828",0
"k141_1532003.concoct_part_0","","","",NA
"k141_1167064.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","972",0
"k141_794897.concoct_part_0","AP011540.1","Rothia mucilaginosa DY-18 DNA, complete genome","3803",0
"k141_1532070.concoct_part_0","CP012714.1","Fusobacterium nucleatum subsp. vincentii ChDC F8 strai...","6216",0
"k141_795300.concoct_part_0","CP019302.1","Prevotella intermedia strain strain 17 chromosome I, c...","2244",0
"k141_4113199.concoct_part_0","","","",NA
"k141_427397.concoct_part_0","CP031683.1","Haemophilus influenzae strain P662-7189 chromosome, co...","8829",0
"k141_2634386.concoct_part_1","CP053922.1","Pseudomonas aeruginosa strain YD001 chromosome, comple...","18351",0
"k141_1532786.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","22659",0
"k141_61949.concoct_part_0","CP000233.1","Lactobacillus salivarius UCC118, complete genome","4425",0
"k141_3372347.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","3827",0
"k141_2266199.concoct_part_3","CP014017.2","Serratia liquefaciens strain FDAARGOS_125 chromosome, ...","17976",0
"k141_3737311.concoct_part_1","CP047787.1","Staphylococcus aureus strain UP_1108 chromosome, compl...","34278",0
"k141_2266778.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","6626",0
"k141_428633.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","6890",0
"k141_796967.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","2881",0
"k141_2635796.concoct_part_2","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","18057",0
"k141_428883.concoct_part_0","CP027228.1","Mogibacterium diversum strain CCUG 47132 chromosome, c...","1797",0
"k141_2636435.concoct_part_0","CP054153.1","Streptococcus salivarius strain DB-B5 chromosome, comp...","3485",0
"k141_2636675.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","2185",0
"k141_2267678.concoct_part_0","","","",NA
"k141_3374018.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","195",1e-45
"k141_4117422.concoct_part_0","CP023507.1","Streptococcus oralis strain FDAARGOS_367 chromosome, c...","2702",0
"k141_2637591.concoct_part_0","CP049604.1","Klebsiella pneumoniae strain Kp8701 chromosome, comple...","13682",0
"k141_1171024.concoct_part_0","LR134472.1","Parvimonas micra strain NCTC11808 genome assembly, chr...","2992",0
"k141_2268286.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","2588",0
"k141_798992.concoct_part_0","LR214938.1","Mycoplasma salivarium strain NCTC10113 genome assembly...","56.5",7e-04
"k141_64389.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","1533",0
"k141_430190.concoct_part_0","CP054214.1","Escherichia coli strain EcPF40 chromosome, complete ge...","3917",0
"k141_64478.concoct_part_0","LS483369.1","Neisseria cinerea strain NCTC10294 genome assembly, ch...","3698",0
"k141_1171232.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","4900",0
"k141_3739963.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","3470",0
"k141_799603.concoct_part_0","CP059566.1","Neisseria sicca strain DSM 17713 chromosome, complete ...","7350",0
"k141_3375588.concoct_part_0","CP003857.1","Streptococcus intermedius B196, complete genome","3371",0
"k141_3375875.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","1037",0
"k141_800009.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","2519",0
"k141_2269262.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","4636",0
"k141_3020357.concoct_part_0","CP046314.1","Gemella morbillorum strain FDAARGOS_741 chromosome, co...","4080",0
"k141_4119225.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","5590",0
"k141_3376822.concoct_part_0","LS483369.1","Neisseria cinerea strain NCTC10294 genome assembly, ch...","1982",0
"k141_3741789.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","2117",0
"k141_432193.concoct_part_0","CP032057.1","Prevotella denticola strain KCOM 1525 chromosome 2, co...","403",1e-107
"k141_432218.concoct_part_0","CP054011.1","Prevotella melaninogenica strain FDAARGOS_760 chromoso...","1375",0
"k141_2640188.concoct_part_1","CP025932.1","Porphyromonas gingivalis strain W83 chromosome, comple...","18070",0
"k141_66641.concoct_part_0","CP010902.1","Moraxella catarrhalis strain MC8 chromosome","1013",0
"k141_2640384.concoct_part_0","CP046335.1","Streptococcus mitis strain FDAARGOS_684 chromosome, co...","2119",0
"k141_3742200.concoct_part_0","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","52.8",0.006
"k141_2640386.concoct_part_1","CP013452.1","Burkholderia cenocepacia strain MSMB384WGS chromosome ...","18146",0
"k141_2640386.concoct_part_2","HG938371.2","Burkholderia cenocepacia H111 chromosome 2, complete g...","18268",0
"k141_432660.concoct_part_0","CP053988.1","Abiotrophia defectiva strain FDAARGOS_785 chromosome, ...","1736",0
"k141_3742576.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","1803",0
"k141_1538408.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","3151",0
"k141_802240.concoct_part_0","CP024932.1","Corynebacterium striatum strain 216 chromosome, comple...","13537",0
"k141_432854.concoct_part_0","CP020433.2","Streptococcus intermedius strain FDAARGOS_233 chromoso...","4643",0
"k141_2641201.concoct_part_0","CP050133.1","Streptococcus cristatus ATCC 51100 chromosome, complet...","2084",0
"k141_1174418.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","7784",0
"k141_1174458.concoct_part_0","LT906445.1","Veillonella parvula strain NCTC11810 genome assembly, ...","2492",0
"k141_1174475.concoct_part_0","CP028150.1","Neisseria mucosa strain ATCC 19696 chromosome, complet...","2765",0
"k141_1538932.concoct_part_2","CP019674.1","Burkholderia cenocepacia strain VC12308 chromosome 1, ...","32721",0
"k141_1902783.concoct_part_0","LR134512.1","Streptococcus agalactiae strain NCTC13949 genome assem...","14246",0
"k141_4122472.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","16419",0
"k141_1902809.concoct_part_2","CP012685.1","Serratia marcescens strain SmUNAM836, complete genome","17952",0
"k141_3379296.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","1930",0
"k141_3743548.concoct_part_1","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","19032",0
"k141_1902884.concoct_part_0","HM990671.1","Streptococcus agalactiae strain UCN70 site-specific re...","3097",0
"k141_803561.concoct_part_0","","","",NA
"k141_3743697.concoct_part_0","","","",NA
"k141_3379515.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","2085",0
"k141_3024027.concoct_part_0","CP054230.1","Escherichia coli strain EcPF14 chromosome, complete ge...","2815",0
"k141_1539755.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","2047",0
"k141_3743936.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","2270",0
"k141_1903407.concoct_part_0","CP024725.1","Prevotella intermedia strain KCOM 2838 chromosome 1, c...","442",2e-119
"k141_69143.concoct_part_0","CP015282.1","Streptococcus salivarius strain ATCC 27945, complete g...","3229",0
"k141_2642838.concoct_part_0","","","",NA
"k141_2642838.concoct_part_1","","","",NA
"k141_1903545.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","3035",0
"k141_3379775.concoct_part_4","HG938370.1","Burkholderia cenocepacia H111 chromosome 1 complete ge...","18343",0
"k141_69393.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","10207",0
"k141_1540719.concoct_part_0","CP016204.1","Prevotella scopos JCM 17725 strain W2052 chromosome 1 ...","2747",0
"k141_805020.concoct_part_0","","","",NA
"k141_1903952.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1397",0
"k141_3745083.concoct_part_0","CP059566.1","Neisseria sicca strain DSM 17713 chromosome, complete ...","161",1e-35
"k141_3026350.concoct_part_0","CP022379.1","Capnocytophaga sputigena strain D1179 chromosome, comp...","237",6e-58
"k141_3745425.concoct_part_0","","","",NA
"k141_435702.concoct_part_3","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","19281",0
"k141_435711.concoct_part_0","CP002390.1","Filifactor alocis ATCC 35896, complete genome","110",2e-20
"k141_3745542.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","2843",0
"k141_3381155.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","1520",0
"k141_2644864.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","1736",0
"k141_1904938.concoct_part_0","CP046335.1","Streptococcus mitis strain FDAARGOS_684 chromosome, co...","2390",0
"k141_2275101.concoct_part_0","CP006776.1","Streptococcus sp. I-P16, complete genome","1277",0
"k141_1178241.concoct_part_0","CP007756.1","Porphyromonas gingivalis strain HG66 genome","12070",0
"k141_2275146.concoct_part_0","","","",NA
"k141_1905334.concoct_part_0","CP041785.1","Pseudomonas aeruginosa strain SCAID WND3-2019 chromosome","11566",0
"k141_437134.concoct_part_0","CP050965.1","Gemella haemolysans strain FDAARGOS_740 chromosome","2885",0
"k141_72063.concoct_part_0","HQ652506.1","Streptococcus australis strain FRStet12 ABC transporte...","6981",0
"k141_2276074.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","1812",0
"k141_437442.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","1997",0
"k141_1905749.concoct_part_1","CP047592.1","Pseudomonas aeruginosa strain INP-43 chromosome, compl...","18246",0
"k141_3747125.concoct_part_0","CP012590.1","Actinomyces sp. oral taxon 414 strain F0588, complete ...","1642",0
"k141_437721.concoct_part_0","CP022379.1","Capnocytophaga sputigena strain D1179 chromosome, comp...","9875",0
"k141_1906088.concoct_part_0","CP012590.1","Actinomyces sp. oral taxon 414 strain F0588, complete ...","2471",0
"k141_3028926.concoct_part_0","CP054018.1","Rothia dentocariosa strain FDAARGOS_752 chromosome, co...","3277",0
"k141_4128266.concoct_part_0","CP047675.1","Klebsiella pneumoniae subsp. pneumoniae strain KUH-KPN...","30472",0
"k141_2647195.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","17200",0
"k141_1544612.concoct_part_0","CP012713.1","Fusobacterium nucleatum subsp. animalis strain KCOM 12...","4253",0
"k141_4129234.concoct_part_0","CP020451.2","Streptococcus salivarius strain FDAARGOS_259 chromosom...","2078",0
"k141_74028.concoct_part_2","CP059038.1","Serratia marcescens strain ICU-2 chromosome","19787",0
"k141_4129430.concoct_part_2","CP050330.1","Pseudomonas aeruginosa strain DVT779 chromosome, compl...","33059",0
"k141_1907777.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","52.8",0.008
"k141_1908081.concoct_part_0","CP014326.1","Streptococcus mitis strain SVGS_061, complete genome","2621",0
"k141_2278418.concoct_part_0","CP003667.1","Prevotella sp. oral taxon 299 str. F0039 plasmid, comp...","3184",0
"k141_3031059.concoct_part_5","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","21008",0
"k141_3749055.concoct_part_0","CP031244.1","Haemophilus influenzae strain M14951 chromosome","2745",0
"k141_1908752.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","4087",0
"k141_3031899.concoct_part_0","CP054214.1","Escherichia coli strain EcPF40 chromosome, complete ge...","4253",0
"k141_4131103.concoct_part_0","CP024698.1","Fusobacterium pseudoperiodonticum strain KCOM 1283 chr...","3855",0
"k141_3032108.concoct_part_0","LR594040.1","Streptococcus australis strain NCTC5338 genome assembl...","1218",0
"k141_2649691.concoct_part_0","LS483444.1","Streptococcus australis strain NCTC13166 genome assemb...","2041",0
"k141_1183148.concoct_part_0","CP053988.1","Abiotrophia defectiva strain FDAARGOS_785 chromosome, ...","2708",0
"k141_1546640.concoct_part_0","LS483364.1","Streptococcus sanguinis strain NCTC11086 genome assemb...","3825",0
"k141_1909477.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","3927",0
"k141_3750042.concoct_part_0","CP024733.1","Prevotella intermedia strain KCOM 1741 chromosome 2, c...","1722",0
"k141_1183330.concoct_part_0","CP002121.1","Streptococcus pneumoniae AP200, complete genome","2194",0
"k141_3386469.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1173",0
"k141_1909640.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","5590",0
"k141_76311.concoct_part_0","CP047845.1","Staphylococcus aureus strain UP_591 chromosome, comple...","22873",0
"k141_1547193.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","12035",0
"k141_3750501.concoct_part_0","CP054010.1","Prevotella melaninogenica strain FDAARGOS_760 chromoso...","228",1e-54
"k141_1183790.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","2728",0
"k141_2650592.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","7306",0
"k141_76404.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","1140",0
"k141_3033171.concoct_part_0","CP052431.1","Klebsiella pneumoniae strain C16KP0122 chromosome, com...","8344",0
"k141_1910044.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","1947",0
"k141_2650879.concoct_part_0","LS483485.1","Aggregatibacter aphrophilus strain NCTC11096 genome as...","2953",0
"k141_4132458.concoct_part_3","","","",NA
"k141_811997.concoct_part_3","CP045913.1","Serratia proteamaculans strain 336X chromosome, comple...","9302",0
"k141_1184224.concoct_part_0","","","",NA
"k141_2280267.concoct_part_0","","","",NA
"k141_4132714.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","4034",0
"k141_441744.concoct_part_0","CP027228.1","Mogibacterium diversum strain CCUG 47132 chromosome, c...","1836",0
"k141_77066.concoct_part_0","CP010901.1","Moraxella catarrhalis strain MC6 chromosome","902",0
"k141_77066.concoct_part_4","CP053332.1","Salmonella enterica subsp. houtenae serovar 44:z4,z32:...","209",4e-49
"k141_77118.concoct_part_1","CP026650.1","Serratia marcescens isolate GN26 chromosome","18268",0
"k141_77125.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","1716",0
"k141_77127.concoct_part_0","CP039886.1","Neisseria flavescens strain ATCC 13120 chromosome, com...","1816",0
"k141_1184776.concoct_part_0","CP024931.1","Corynebacterium striatum strain 215 chromosome, comple...","17559",0
"k141_1548001.concoct_part_0","CP014017.2","Serratia liquefaciens strain FDAARGOS_125 chromosome, ...","16916",0
"k141_1548001.concoct_part_2","CP018925.1","Serratia marcescens strain UMH3, complete genome","17872",0
"k141_1184954.concoct_part_0","CP054134.1","Streptococcus oralis subsp. oralis strain SN51445 chro...","2143",0
"k141_3751837.concoct_part_0","CP019302.1","Prevotella intermedia strain strain 17 chromosome I, c...","93.5",3e-14
"k141_2652382.concoct_part_0","CP054230.1","Escherichia coli strain EcPF14 chromosome, complete ge...","6711",0
"k141_3388787.concoct_part_0","CP054876.1","Staphylococcus aureus subsp. aureus strain Dresden-275...","60.2",2e-05
"k141_443178.concoct_part_0","LS483369.1","Neisseria cinerea strain NCTC10294 genome assembly, ch...","3290",0
"k141_3752231.concoct_part_0","","","",NA
"k141_78345.concoct_part_0","CP054571.1","Achromobacter xylosoxidans strain FDAARGOS_789 chromos...","276",3e-70
"k141_2282010.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2453",0
"k141_3035787.concoct_part_0","","","",NA
"k141_3389582.concoct_part_0","AP019841.1","Leptotrichia wadei JMUB3936 DNA, complete genome","3024",0
"k141_1912123.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1543",0
"k141_3036208.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","13601",0
"k141_79255.concoct_part_0","CP048647.1","Escherichia coli strain GW-AmxH19 chromosome, complete...","2473",0
"k141_814330.concoct_part_0","AP019841.1","Leptotrichia wadei JMUB3936 DNA, complete genome","17571",0
"k141_814330.concoct_part_2","AP019841.1","Leptotrichia wadei JMUB3936 DNA, complete genome","11359",0
"k141_444334.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","3129",0
"k141_1549903.concoct_part_0","CP034442.1","Streptococcus oralis subsp. dentisani strain F0392 chr...","3162",0
"k141_2654279.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1561",0
"k141_1549998.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","2167",0
"k141_2654461.concoct_part_0","","","",NA
"k141_4136706.concoct_part_0","AP011540.1","Rothia mucilaginosa DY-18 DNA, complete genome","1770",0
"k141_1550248.concoct_part_0","CP002280.1","Rothia dentocariosa ATCC 17931, complete genome","867",0
"k141_814954.concoct_part_0","","","",NA
"k141_1550342.concoct_part_0","LR739069.1","Pseudomonas aeruginosa strain PcyII-40 genome assembly...","18456",0
"k141_1550342.concoct_part_1","CP053706.1","Pseudomonas aeruginosa strain PAC1 chromosome, complet...","27510",0
"k141_3754186.concoct_part_0","CP047883.1","Streptococcus mitis strain S022-V3-A4 chromosome, comp...","5921",0
"k141_1550376.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1463",0
"k141_444988.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","4811",0
"k141_3391026.concoct_part_0","CP053853.1","Propionibacterium freudenreichii strain FAM 14217 chro...","75.0",3e-09
"k141_4137332.concoct_part_0","LR134285.1","Streptococcus australis strain NCTC3168 genome assembl...","213",2e-51
"k141_1550667.concoct_part_0","CP023507.1","Streptococcus oralis strain FDAARGOS_367 chromosome, c...","1000",0
"k141_1913156.concoct_part_13","","","",NA
"k141_80489.concoct_part_0","","","",NA
"k141_815647.concoct_part_1","CP030327.1","Pseudomonas aeruginosa strain AR_458 chromosome, compl...","29968",0
"k141_1551078.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","11878",0
"k141_1913505.concoct_part_0","LS483369.1","Neisseria cinerea strain NCTC10294 genome assembly, ch...","4394",0
"k141_1913572.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","3945",0
"k141_4138062.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","1561",0
"k141_3038054.concoct_part_0","CP024932.1","Corynebacterium striatum strain 216 chromosome, comple...","29482",0
"k141_1914091.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","71.3",2e-08
"k141_3392019.concoct_part_1","CP019678.1","Burkholderia cenocepacia strain VC1254 chromosome 1, c...","18046",0
"k141_3038641.concoct_part_0","CP021999.1","Pseudomonas aeruginosa strain Pa84, complete genome","29336",0
"k141_4138865.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2643",0
"k141_3392222.concoct_part_0","CP054153.1","Streptococcus salivarius strain DB-B5 chromosome, comp...","2760",0
"k141_3756240.concoct_part_0","CP053917.1","Pseudomonas aeruginosa strain PSE6684 chromosome, comp...","10246",0
"k141_1188502.concoct_part_11","","","",NA
"k141_1188502.concoct_part_17","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","459",2e-124
"k141_1188502.concoct_part_23","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","865",0
"k141_2657055.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","1380",0
"k141_3392700.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","2603",0
"k141_2657268.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","1589",0
"k141_3039465.concoct_part_0","CP019302.1","Prevotella intermedia strain strain 17 chromosome I, c...","4167",0
"k141_817287.concoct_part_4","CP047675.1","Klebsiella pneumoniae subsp. pneumoniae strain KUH-KPN...","28162",0
"k141_2657393.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","2235",0
"k141_1914945.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","3576",0
"k141_2657478.concoct_part_0","CP048598.1","Klebsiella aerogenes strain AUH-KAM-9 chromosome, comp...","2122",0
"k141_1189034.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1369",0
"k141_2657590.concoct_part_1","CP019300.1","Prevotella intermedia ATCC 25611 = DSM 20706 strain AT...","501",7e-137
"k141_3039822.concoct_part_0","LS483444.1","Streptococcus australis strain NCTC13166 genome assemb...","2828",0
"k141_2286716.concoct_part_0","LR134489.1","Capnocytophaga sputigena strain NCTC11097 genome assem...","23148",0
"k141_3393602.concoct_part_0","","","",NA
"k141_1554139.concoct_part_0","CP012805.1","Streptococcus anginosus strain J4211, complete genome","992",0
"k141_3757588.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1868",0
"k141_3394488.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","8689",0
"k141_448923.concoct_part_0","AP019841.1","Leptotrichia wadei JMUB3936 DNA, complete genome","8804",0
"k141_818561.concoct_part_4","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","17752",0
"k141_3758364.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","2366",0
"k141_2659339.concoct_part_0","CP050325.1","Pseudomonas aeruginosa strain DVT425 chromosome, compl...","31085",0
"k141_2659397.concoct_part_1","CP022040.2","Prevotella melaninogenica strain FDAARGOS_306 chromoso...","4754",0
"k141_4142151.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","394",9e-106
"k141_3395118.concoct_part_0","LR134254.1","Klebsiella aerogenes strain NCTC9644 genome assembly, ...","18340",0
"k141_3395176.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","1829",0
"k141_3042115.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1882",0
"k141_450084.concoct_part_0","CP016204.1","Prevotella scopos JCM 17725 strain W2052 chromosome 1 ...","630",7e-177
"k141_3042242.concoct_part_1","CP026050.1","Serratia marcescens strain FDAARGOS_65 chromosome, com...","17780",0
"k141_1191057.concoct_part_0","CP035368.2","Haemophilus parainfluenzae strain LC_1315_18 chromosom...","1478",0
"k141_84653.concoct_part_0","LS483444.1","Streptococcus australis strain NCTC13166 genome assemb...","2102",0
"k141_85024.concoct_part_0","CP031242.1","Haemophilus influenzae strain M21460 chromosome, compl...","4763",0
"k141_2289272.concoct_part_0","CP031690.1","Haemophilus influenzae strain P617-9224 chromosome, co...","2128",0
"k141_3759846.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","1820",0
"k141_4143696.concoct_part_0","","","",NA
"k141_3759971.concoct_part_0","","","",NA
"k141_1557781.concoct_part_4","CP048784.1","Serratia liquefaciens strain S1 chromosome, complete g...","18046",0
"k141_4143753.concoct_part_0","","","",NA
"k141_451514.concoct_part_2","CP047682.1","Serratia marcescens strain 3024 chromosome, complete g...","13592",0
"k141_2661499.concoct_part_0","CP047592.1","Pseudomonas aeruginosa strain INP-43 chromosome, compl...","7378",0
"k141_85962.concoct_part_0","CP024931.1","Corynebacterium striatum strain 215 chromosome, comple...","30055",0
"k141_2290575.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","2163",0
"k141_1558623.concoct_part_0","CP019667.1","Burkholderia cenocepacia strain VC2307 chromosome 3, c...","29228",0
"k141_1918426.concoct_part_0","","","",NA
"k141_1193083.concoct_part_0","CP047883.1","Streptococcus mitis strain S022-V3-A4 chromosome, comp...","1738",0
"k141_3397572.concoct_part_0","","","",NA
"k141_2290996.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","17869",0
"k141_2662302.concoct_part_1","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","31711",0
"k141_3760970.concoct_part_0","FR873482.1","Streptococcus salivarius JIM8777 complete genome","3618",0
"k141_452579.concoct_part_0","","","",NA
"k141_2291165.concoct_part_8","CP011303.1","Serratia liquefaciens strain HUMV-21, complete genome","29290",0
"k141_87092.concoct_part_0","CP047845.1","Staphylococcus aureus strain UP_591 chromosome, comple...","31852",0
"k141_2662890.concoct_part_0","","","",NA
"k141_4145593.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","1759",0
"k141_2663125.concoct_part_0","CP027231.1","Bacteroides zoogleoformans strain ATCC 33285 chromosom...","18434",0
"k141_2291756.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","10370",0
"k141_2663228.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","4309",0
"k141_3046307.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","178",1e-40
"k141_1919717.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","2309",0
"k141_3046449.concoct_part_0","CP052258.1","Klebsiella pneumoniae strain E16KP0290 chromosome, com...","4427",0
"k141_87821.concoct_part_0","","","",NA
"k141_1920374.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","3064",0
"k141_2663690.concoct_part_0","CP054817.1","Burkholderia cenocepacia strain FDAARGOS_734 chromosom...","18218",0
"k141_2663690.concoct_part_8","CP015034.1","Burkholderia cenocepacia strain 842 chromosome 2, comp...","18240",0
"k141_88483.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","1186",0
"k141_3762950.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","2601",0
"k141_823891.concoct_part_0","CP022040.2","Prevotella melaninogenica strain FDAARGOS_306 chromoso...","3173",0
"k141_3048111.concoct_part_0","CP047592.1","Pseudomonas aeruginosa strain INP-43 chromosome, compl...","11598",0
"k141_89013.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","4702",0
"k141_3048239.concoct_part_0","","","",NA
"k141_3399759.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","1105",0
"k141_1921328.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","15444",0
