"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"1599","k141_4078713.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"1598","k141_4078448.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"1597","k141_4074171.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1596","k141_4071792.concoct_part_0","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1595","k141_4063192.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus thermophilus",NA,"Chromosome","Chromosome"
"1594","k141_406192.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Actinomyces","Actinomyces oris",NA,"Chromosome","Chromosome"
"1593","k141_4061686.concoct_part_1","BAE77933","CRP","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1592","k141_4059103.concoct_part_0","AAL14440","adeB","Tetracycline","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1591","k141_4056894.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1590","k141_4054500.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"1589","k141_4054068.concoct_part_0","AAG03548","TriC","Triclosan","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"1588","k141_4053671.concoct_part_0","AAF42062","mtrD","Multidrug","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"1587","k141_4050638.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1586","k141_4045235.concoct_part_2","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Porphyromonas","Porphyromonas gingivalis",NA,"Chromosome","Chromosome"
"1585","k141_4043112.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"1584","k141_404203.concoct_part_1","ACQ82816","Acinetobacter baumannii AmvA","MLS","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1583","k141_403866.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Bifidobacterium","Bifidobacterium longum",NA,"Chromosome","Chromosome"
"1582","k141_403457.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Tannerella","Tannerella forsythia",NA,"Chromosome","Chromosome"
"1581","k141_403162.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1580","k141_4020713.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1579","k141_4019449.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1578","k141_4017183.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1577","k141_4016.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1576","k141_4007719.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1575","k141_400732.concoct_part_0","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1574","k141_3989029.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1573","k141_3983084.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Plasmid","Plasmid"
"1572","k141_3982110.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1571","k141_3974950.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1570","k141_3974315.concoct_part_0","AAG05915","MuxB","Multidrug","antibiotic efflux","Neisseria","Neisseria sp.",NA,"Chromosome","Chromosome"
"1569","k141_3973673.concoct_part_0","CBJ02047","Escherichia coli ampC1 beta-lactamase","Beta-lactam","antibiotic inactivation","","",NA,"Chromosome","Chromosome"
"1568","k141_3972535.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1567","k141_3971319.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1566","k141_3965724.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1565","k141_3964466.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1564","k141_3963945.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1563","k141_395703.concoct_part_0","AFH35853","Escherichia coli mdfA","Tetracycline","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1562","k141_3950483.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"1561","k141_3947725.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1560","k141_3940634.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1559","k141_3940556.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1558","k141_3937454.concoct_part_0","AEA37904","lsaC","MLS","antibiotic target protection","Lachnospiraceae","Lachnospiraceae bacterium",NA,"Chromosome","Chromosome"
"1557","k141_3929283.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1556","k141_3928960.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1555","k141_3928037.concoct_part_0","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1554","k141_3927283.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"1553","k141_3923768.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella jejuni",NA,"Chromosome","Chromosome"
"1552","k141_3921472.concoct_part_3","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1551","k141_39164.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"1550","k141_3915783.concoct_part_0","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1549","k141_39067.concoct_part_4","AAA74437","MexB","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1548","k141_39067.concoct_part_3","AAA74437","MexB","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1547","k141_3904929.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1546","k141_3902802.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1545","k141_3901197.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1544","k141_389726.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1543","k141_3896181.concoct_part_2","AAC73564","acrB","Multidrug","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1542","k141_3896181.concoct_part_1","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"1541","k141_3893332.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1540","k141_3892468.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1539","k141_3891555.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"1538","k141_3890265.concoct_part_14","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1537","k141_3890265.concoct_part_10","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"1536","k141_38866.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"1535","k141_3885.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","Prevotella","Prevotella jejuni",NA,"Chromosome","Chromosome"
"1534","k141_388486.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"1533","k141_3883813.concoct_part_0","AEA37904","lsaC","MLS","antibiotic target protection","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1532","k141_3883687.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1531","k141_3880705.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Capnocytophaga","Capnocytophaga leadbetteri",NA,"Chromosome","Chromosome"
"1530","k141_3879494.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1529","k141_3877997.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1528","k141_3876251.concoct_part_0","AAF42062","mtrD","Multidrug","antibiotic efflux","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"1527","k141_3874454.concoct_part_0","AAG04750","PmpM","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1526","k141_387284.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1525","k141_387142.concoct_part_0","AEA37904","lsaC","MLS","antibiotic target protection","","",NA,"Chromosome","Chromosome"
"1524","k141_3871193.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1523","k141_3865783.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1522","k141_3864287.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Actinomyces","Actinomyces oris",NA,"Chromosome","Chromosome"
"1521","k141_3863776.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"1520","k141_3863101.concoct_part_0","AAN00989","Streptococcus agalactiae mprF","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1519","k141_386114.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Prevotella","Prevotella jejuni",NA,"Chromosome","Chromosome"
"1518","k141_3855070.concoct_part_0","BAB38260","cpxA","Aminoglycoside","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1517","k141_3855045.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1516","k141_3853629.concoct_part_0","BAA16547","emrA","Fluoroquinolone","antibiotic efflux","Fusobacterium","Fusobacterium pseudoperiodonticum",NA,"Chromosome","Chromosome"
"1515","k141_3852831.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1514","k141_3851857.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1513","k141_3850004.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Lachnospiraceae","Lachnospiraceae bacterium",NA,"Chromosome","Chromosome"
"1512","k141_3848858.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1511","k141_384801.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"1510","k141_3845746.concoct_part_4","BAE77933","CRP","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1509","k141_3842475.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1508","k141_384242.concoct_part_0","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1507","k141_383522.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria sp.",NA,"Chromosome","Chromosome"
"1506","k141_3831797.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"1505","k141_3830678.concoct_part_4","ALH22601","adeL","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1504","k141_3830408.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1503","k141_3830008.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria flavescens",NA,"Chromosome","Chromosome"
"1502","k141_3829986.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1501","k141_3829069.concoct_part_0","CAQ49384","tetM","Tetracycline","antibiotic target protection","Streptococcus","Streptococcus salivarius",NA,"Plasmid","Plasmid"
"1500","k141_3828389.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1499","k141_3828356.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Corynebacterium","Corynebacterium matruchotii",NA,"Chromosome","Chromosome"
"1498","k141_3827826.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"1497","k141_3826523.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1496","k141_3824140.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1495","k141_3823037.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"1494","k141_3818907.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1493","k141_3818251.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1492","k141_3817130.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1491","k141_3817011.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"1490","k141_3815976.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1489","k141_3815095.concoct_part_0","AAF42062","mtrD","Multidrug","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"1488","k141_3812240.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"1487","k141_3806923.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1486","k141_3805536.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"1485","k141_3804330.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1484","k141_3802129.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"1483","k141_3800563.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1482","k141_3800293.concoct_part_0","AAG05882","MexF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1481","k141_379233.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1480","k141_3790093.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1479","k141_3785592.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Bacteroides","Bacteroides zoogleoformans",NA,"Chromosome","Chromosome"
"1478","k141_3785402.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"1477","k141_3785010.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","Campylobacter","Campylobacter showae",NA,"Chromosome","Chromosome"
"1476","k141_3778416.concoct_part_1","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1475","k141_3776615.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Gemella","Gemella morbillorum",NA,"Chromosome","Chromosome"
"1474","k141_3776208.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1473","k141_3773388.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Abiotrophia","Abiotrophia defectiva",NA,"Chromosome","Chromosome"
"1472","k141_3770658.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1471","k141_3768545.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"1470","k141_3766508.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1469","k141_3765312.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"1468","k141_376404.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"1467","k141_3762950.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"1466","k141_3760970.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1465","k141_3759971.concoct_part_0","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1464","k141_3759846.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1463","k141_3758364.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Prevotella","Prevotella jejuni",NA,"Chromosome","Chromosome"
"1462","k141_375817.concoct_part_0","ACQ82816","Acinetobacter baumannii AmvA","MLS","antibiotic efflux","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"1461","k141_3757588.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"1460","k141_3756240.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1459","k141_3754186.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1458","k141_3752231.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1457","k141_3751837.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1456","k141_3750501.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1455","k141_3750042.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1454","k141_3749055.concoct_part_0","BAA16547","emrA","Fluoroquinolone","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"1453","k141_3747125.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Actinomyces","Actinomyces sp.",NA,"Chromosome","Chromosome"
"1452","k141_3745542.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1451","k141_3745425.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1450","k141_3745083.concoct_part_0","CAA64891","mtrE","Multidrug","antibiotic efflux","Neisseria","Neisseria sicca",NA,"Chromosome","Chromosome"
"1449","k141_3743936.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"1448","k141_3743697.concoct_part_0","AAG05915","MuxB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1447","k141_3743548.concoct_part_1","AAG06942","arnA","Peptide antibiotic","antibiotic target alteration","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"1446","k141_3742576.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"1445","k141_3742200.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"1444","k141_3741789.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1443","k141_3739963.concoct_part_0","AAF40763","farA","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"1442","k141_3737311.concoct_part_1","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"1441","k141_373635.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1440","k141_3735108.concoct_part_2","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"1439","k141_3733081.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1438","k141_3732414.concoct_part_0","AAF42063","mtrC","Multidrug","antibiotic efflux","Neisseria","Neisseria elongata",NA,"Chromosome","Chromosome"
"1437","k141_3731742.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1436","k141_3731235.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
